Name,Address,Rating,Website,Opening Hours,Cuisine Type
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222, United States",4.3,https://taqueria-mi-costa.business.site/,"Monday: Closed
Tuesday: 11:00 AM – 11:00 PM
Wednesday: 11:00 AM – 11:00 PM
Thursday: 11:00 AM – 11:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 11:00 PM
Sunday: 12:00 – 11:00 PM",Unknown
Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, United States",4.4,http://www.facebook.com/El-Volkan-Mexican-Restaurant-346354408845765/,"Monday: 5:00 – 10:55 PM
Tuesday: 5:00 – 10:55 PM
Wednesday: 5:00 – 10:55 PM
Thursday: 11:00 AM – 10:55 PM
Friday: 11:00 AM – 11:50 PM
Saturday: 11:00 AM – 11:50 PM
Sunday: 5:00 – 10:55 PM",Mexican
The Latin Flavor,"9930 E 38th St, Indianapolis, IN 46235, United States",5.0,https://www.facebook.com/thelatinflavorfoodtruck/,"Monday: 12:00 – 10:00 PM
Tuesday: 12:00 – 10:00 PM
Wednesday: 12:00 – 10:00 PM
Thursday: 12:00 – 10:00 PM
Friday: 12:00 – 11:00 PM
Saturday: 12:00 – 11:00 PM
Sunday: Closed",Unknown
Birrieria Iturbidense,"Lot Food Truck, 6302 W Washington St, Indianapolis, IN 46241, United States",4.7,null,"Monday: Closed
Tuesday: Closed
Wednesday: 6:00 PM – 12:00 AM
Thursday: 6:00 PM – 12:00 AM
Friday: 6:00 PM – 1:00 AM
Saturday: 6:00 PM – 1:00 AM
Sunday: 6:00 – 11:00 PM",Unknown
ClusterTruck - Castleton,"4737 E 82nd St, Indianapolis, IN 46250, United States",4.9,http://clustertruck.com/,"Monday: 11:00 AM – 9:00 PM
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 3:00 – 9:00 PM
Sunday: Closed",Unknown
Fast-Taco's,"6154 Michigan Rd, Indianapolis, IN 46228, United States",4.4,null,"Monday: 7:00 PM – 1:00 AM
Tuesday: 7:00 PM – 1:00 AM
Wednesday: 7:00 PM – 1:00 AM
Thursday: 7:00 PM – 1:00 AM
Friday: 7:00 PM – 1:00 AM
Saturday: 7:00 PM – 3:00 AM
Sunday: 7:00 PM – 12:00 AM",Mexican
Taste Of Cholulas,"8901-8925 E Washington St, Indianapolis, IN 46219, United States",4.2,https://m.yelp.com/biz/taste-of-cholulas-indianapolis,"Monday: 5:00 PM – 12:00 AM
Tuesday: 5:00 PM – 12:00 AM
Wednesday: 5:00 PM – 12:00 AM
Thursday: 5:00 PM – 12:00 AM
Friday: 5:00 PM – 12:00 AM
Saturday: 5:00 PM – 12:00 AM
Sunday: 5:00 PM – 12:00 AM",Unknown
"F & M Assembly, LLC","1164 W 30th St, Indianapolis, IN 46208, United States",4.7,null,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: 12:00 – 5:00 PM",Unknown
Dogs to Go by Uncle Zo,"3376 W 10th St and, N Tibbs Ave, Indianapolis, IN 46222, United States",4.3,https://www.facebook.com/pages/category/Hot-Dog-Joint/Dogs-to-go-by-uncle-zo-891773400966722/,"Monday: Closed
Tuesday: 10:00 AM – 5:00 PM
Wednesday: 10:00 AM – 5:00 PM
Thursday: 10:00 AM – 5:00 PM
Friday: 10:00 AM – 5:00 PM
Saturday: 10:00 AM – 5:00 PM
Sunday: Closed",Unknown
Super Tacos,"5653 W Washington St, Indianapolis, IN 46241, United States",4.1,null,"Monday: 5:00 – 9:00 PM
Tuesday: 5:00 – 9:00 PM
Wednesday: 5:00 – 9:00 PM
Thursday: 5:00 – 9:00 PM
Friday: 5:00 – 9:00 PM
Saturday: Closed
Sunday: Closed",Mexican
Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, United States",4.7,https://www.express.gauchosfire.com/,"Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 9:00 PM",Unknown
Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46224, United States",4.5,null,"Monday: 6:00 PM – 2:00 AM
Tuesday: 6:00 PM – 2:00 AM
Wednesday: 6:00 PM – 2:00 AM
Thursday: 6:00 PM – 2:00 AM
Friday: 4:00 PM – 4:00 AM
Saturday: 4:00 PM – 4:00 AM
Sunday: Closed",Unknown
El Pastor Taco Truck,"1053997, Indianapolis, IN 46201, United States",4.7,null,,Mexican
Funnel Frenzy,"2434 N Keystone Ave, Indianapolis, IN 46218, United States",0.0,null,"Monday: Closed
Tuesday: Closed
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 5:00 PM",Unknown
T Street Eatz,"City Market, 222 E Market St, Indianapolis, IN 46204, United States",4.7,http://www.tstreeteatzindy.com/,"Monday: 11:30 AM – 4:00 PM
Tuesday: 11:30 AM – 4:00 PM
Wednesday: 11:30 AM – 8:00 PM
Thursday: 11:30 AM – 4:00 PM
Friday: 11:30 AM – 4:00 PM
Saturday: 11:30 AM – 4:00 PM
Sunday: Closed",Unknown
